Document,Topic,Location,Topic_name
"If I must explain to you how Olivia's spirit tends towards a free life and a refined civilization, I will tell you of ladies who glide at night in illuminated canoes between the banks of a green estuary; but it is only to remind you that on the outskirts where men and women land every evening like lines of sleepwalkers, there is always someone who bursts out laughing in the darkness, releasing the flow of jokes and sarcasm.",-1,21CITIES & SIGNS 5,Complexity
"This perhaps you do not know: that to talk of Olivia, I could not use different words.",-1,21CITIES & SIGNS 5,Complexity
"If there really were an Olivia of mullioned windows and peacocks, of saddlers and rug-weavers and canoes and estuaries, it would be a wretched, black, fly-ridden hole, and to describe it, I would have to fall back on the metaphors of soot, the creaking of wheels, repeated actions, sarcasm.",1,21CITIES & SIGNS 5,topic_name
Falsehood is never in words; it is in things.,-1,21CITIES & SIGNS 5,Complexity
The city of Sophronia is made up of two half cities.,0,22THIN CITIES 4,Opposite
"In one there is the great roller-coaster with its steep humps, the carousel with its chain spokes, the Ferris wheel of spinning cages, the death-ride with crouching motor-cyclists, the big top with the clump of trapezes hanging in the middle.",-1,22THIN CITIES 4,Complexity
"The other half-city is of stone and marble and cement, with the bank, the factories, the palaces, the slaughterhouse, the school, and all the rest.",0,22THIN CITIES 4,Opposite
"One of the half-cities is permanent, the other is temporary, and when the period if its sojourn is over, they uproot it, dismantle it, and take it off, transplanting it to the vacant lots of another half-city.",0,22THIN CITIES 4,Opposite
"And so every year the day comes when the workmen remove the marble pediments, lower the stone walls, the cement pylons, take down the Ministry, the monument, the docks, the petroleum refinery, the hospital, load them on trailers, to follow from stand to stand their annual itinerary.",0,22THIN CITIES 4,Opposite
"Here remains the half-Sophronia of the shooting-galleries and the carousels, the shout suspended from the cart of the headlong roller-coaster, and it begins to count the months, and days it must wait before the caravan returns and a complete life can begin again.",-1,22THIN CITIES 4,Complexity
"When he enters the territory of which Eutropia is the capital, the traveller sees not one city but many, of equal size and not unlike one another, scattered over a vast, rolling plateau.",7,23TRADING CITIES 3,Desire
"Eutropia is not one, but all these cities together; only one is inhabited at a time, the others are empty; and this process is carried out in rotation.",7,23TRADING CITIES 3,Desire
Now I shall tell you how.,3,23TRADING CITIES 3,Gaze
"On the day when Eutropia's inhabitants feel the grip of weariness and no one can bear any longer his job, his relatives, his house and his life, debts, the people he must greet or who greet him, then the whole citizenry decides to move to the next city, which is there waiting for them, empty and good as new; there each will take up a new job, a different wife, will see another landscape on opening his window, and will spend his time with different pastimes, friends, gossip.",7,23TRADING CITIES 3,Desire
"So their life is renewed from move to move, among cities whose exposure or declivity or streams or winds make each site somehow different from the others.",0,23TRADING CITIES 3,Opposite
"Since their society is ordered without great distinctions of wealth or authority, the passage from one function to another takes place almost without jolts; variety is guaranteed by the multiple assignments, so that in the span of a lifetime a man rarely returns to a job that has already been his.",-1,23TRADING CITIES 3,Complexity
"Thus the city repeats its life, identical, shifting up and down on its empty chessboard.",0,23TRADING CITIES 3,Opposite
"The inhabitants repeat the same scenes, with the actors changed; they repeat the same speeches with variously combined accents; they open alternate mouths in identical yawns.",-1,23TRADING CITIES 3,Complexity
"Alone, among all the cities of the empire, Eutropia remains always the same.",7,23TRADING CITIES 3,Desire
"Mercury, god of the fickle, to whom the city is sacred, worked this ambiguous miracle.",2,23TRADING CITIES 3,Escape
It is the mood of the beholder which gives the city of Zemrude its form.,-1,24CITIES & EYES 2,Complexity
"If you go by whistling, your nose a-tilt behind the whistle, you will know it from below: window sills, flapping curtains, fountains.",1,24CITIES & EYES 2,topic_name
"If you walk along hanging your head, your nails dug into the palms of your hands, your gaze will be held on the ground, in the gutters, the manhole covers, the fish scales, wastepaper.",1,24CITIES & EYES 2,topic_name
"You cannot say that one aspect of the city is truer than the other, but you hear of the upper Zemrude chiefly from those who remember it, as they sink into the lower Zemrude, following every day the same stretches of street and finding again each morning the ill-humour of the day before, encrusted at the foot of the walls.",-1,24CITIES & EYES 2,Complexity
"For everyone, sooner or later, the day comes when we bring our gaze down along the drainpipes and we can no longer detach it from the cobblestones.",-1,24CITIES & EYES 2,Complexity
"The reverse is not impossible, but it is more rare: and so we continue walking through Zemrude's streets with eyes now digging into the cellars, the foundations, the wells.",-1,24CITIES & EYES 2,Complexity
"There is little I can tell you about Aglaura beyond the things its own inhabitants have always repeated: an array of proverbial virtues, of equally proverbial faults, a few eccentricities, some punctilious regard for rules.",-1,25CITIES & NAMES 1,Complexity
"Ancient observers, whom there is no reason not to presume truthful, attributed to Aglaura its enduring assortment of qualities, surely comparing them to those of the other cities of their times.",2,25CITIES & NAMES 1,Escape
"Perhaps neither the Aglaura that is reported nor the Aglaura that is visible has greatly changed since then, but what was bizarre has become usual, what seemed normal is now an oddity, and virtues and faults have lost merit or dishonour in a code of virtues and faults differently distributed.",-1,25CITIES & NAMES 1,Complexity
"In this sense, nothing said of Aglaura is true, and yet these accounts create a solid and compact image of a city, whereas the haphazard opinions which might be inferred from living there have less substance.",-1,25CITIES & NAMES 1,Complexity
"This is the result: the city that they speak of has much of what is needed to exist, whereas the city that exists on its site, exists less.",0,25CITIES & NAMES 1,Opposite
"So if I wished to describe Aglaura to you, sticking to what I personally saw and experienced, I should have to tell you that it is a colourless city, without character, planted there at random.",-1,25CITIES & NAMES 1,Complexity
"But this would not be true, either: at certain hours, in certain places along the street, you see opening before you the hint of something unmistakable, rare, perhaps magnificent; you would like to say what it is, but everything previously said of Aglaura imprisons your words and obliges you to repeat rather than say.",-1,25CITIES & NAMES 1,Complexity
"Therefore, the inhabitants still believe they live in an Aglaura which grows only with the name Aglaura and they do not notice the Aglaura that grows on the ground.",-1,25CITIES & NAMES 1,Complexity
"And even I, who would like to keep the two cities distinct in my memory, can speak only of the one, because the recollection of the other, in the lack of words to fix it, has been lost.",0,25CITIES & NAMES 1,Opposite
"If you choose to believe me, good.",3,26THIN CITIES 5,Gaze
"Now I will tell how Octavia, the spiderweb city, is made.",-1,26THIN CITIES 5,Complexity
"There is a precipice between two steep mountains: the city is over the void, bound to the two crests with ropes and chains and catwalks.",0,26THIN CITIES 5,Opposite
"You walk on the little wooden ties, careful not to set your foot in the open spaces, or you cling to the hempen strands.",1,26THIN CITIES 5,topic_name
Below there is nothing for hundreds and hundreds of feet: a few clouds glide past; farther down you can glimpse the chasm's bed.,-1,26THIN CITIES 5,Complexity
This is the foundation of the city: a net which serves as passage and as support.,0,26THIN CITIES 5,Opposite
"All the rest, instead of rising up, is hung below: rope-ladders, hammocks, houses made like sacks, clothes-hangers, terraces like gondolas, skins of water, gas jets, spits, baskets on strings, dumb-waiters, showers, trapezes and rings for children's games, cable-cars, chandeliers, pots with trailing plants.",8,26THIN CITIES 5,Other
"Suspended over the abyss, the life of Octavia's inhabitants is less uncertain than in other cities.",-1,26THIN CITIES 5,Complexity
They know the net will last only so long.,-1,26THIN CITIES 5,Complexity
"In Ersilia, to establish the relationships that sustain the city's life, the inhabitants stretch strings from the corners of the houses, white or black or grey or black-and-white according to whether they mark a relationship of blood, of trade, authority, agency.",-1,27TRADING CITIES 4,Complexity
"When the strings become so numerous that you can no longer pass among them, the inhabitants leave: the houses are dismantled; only the strings and their supports remain.",-1,27TRADING CITIES 4,Complexity
"From a mountainside, camping with their household goods, Ersilia's refugees look at the labyrinth of taut strings and poles that rise in the plain.",-1,27TRADING CITIES 4,Complexity
"That is the city of Ersilia still, and they are nothing.",-1,27TRADING CITIES 4,Complexity
They rebuild Ersilia elsewhere.,-1,27TRADING CITIES 4,Complexity
They weave a similar pattern of strings which they would like to be more complex and at the same time more regular than the other.,-1,27TRADING CITIES 4,Complexity
Then they abandon it and take themselves and their houses still farther away.,-1,27TRADING CITIES 4,Complexity
"Thus, when travelling in the territory of Ersilia, you come upon the ruins of the abandoned cities without the walls which do not last, without the bones of the dead which the wind rolls away: spiderwebs of intricate relationships seeking a form.",-1,27TRADING CITIES 4,Complexity
"After a seven days' march through woodland, the traveller directed towards Baucis cannot see the city and yet he has arrived.",-1,28CITIES & EYES 3,Complexity
The slender stilts that rise from the ground at a great distance from one another and are lost above the clouds support the city.,-1,28CITIES & EYES 3,Complexity
You climb them with ladders.,1,28CITIES & EYES 3,topic_name
"On the ground the inhabitants rarely show themselves: having already everything they need up there, they prefer not to come down.",-1,28CITIES & EYES 3,Complexity
"Nothing of the city touches the earth except those long flamingo legs on which it rests and, when the days are sunny, a pierced, angular shadow that falls on the foliage.",-1,28CITIES & EYES 3,Complexity
"There are three hypotheses about the inhabitants of Baucis: that they hate the earth; that they respect it so much they avoid all contact; that they love it as it was before they existed and with spyglasses and telescopes aimed downwards they never tire of examining it, leaf by leaf, stone by stone, ant by ant, contemplating with fascination their own absence.",2,28CITIES & EYES 3,Escape
Gods of two species protect the city of Leandra.,-1,29CITIES & NAMES 2,Complexity
Both are too tiny to be seen and too numerous to be counted.,1,29CITIES & NAMES 2,topic_name
"One species stands at the doors of the houses, inside, next to the coat rack and the umbrella stand; in moves, they follow the families and install themselves in the new home at the consignment of the keys.",-1,29CITIES & NAMES 2,Complexity
"The others stay in the kitchen, hiding by preference under pots or in the chimney flue or broom closet: they belong to the house, and when the family that has lived there goes away, they remain with the new tenants; perhaps they were already there before the house existed, among the weeds of the vacant lot, concealed in a rusty can; if the house is torn down and a huge block of fifty families is built in its place, they will be found, multiplied, in the kitchens of that many apartments.",-1,29CITIES & NAMES 2,Complexity
To distinguish the two species we will call the fiist one Penates and the other Lares.,-1,29CITIES & NAMES 2,Complexity
"Within a given house, Lares do not necessarily stay with Lares, and Penates with Penates: they visit one another, they stroll together on the stucco cornices, on the radiator pipes; they comment on family events; not infrequently they quarrel; but they can also get along peacefully for years--seeing them all in a row, you are unable to tell them apart.",-1,29CITIES & NAMES 2,Complexity
"The Lares have seen Penates of the most varied origins and customs pass through their walls; the Penates have to make a place for themselves, rubbing elbows with Lares of illustrious, but decaying palaces, full of hauteur, or with Lares from tin shacks, susceptible and distrustful.",-1,29CITIES & NAMES 2,Complexity
The true essence of Leandra is the subject of endless debate.,-1,29CITIES & NAMES 2,Complexity
"The Penates believe they are the city's soul, even if they arrived last year; and they believe they take Leandra with them when they emigrate.",-1,29CITIES & NAMES 2,Complexity
"The Lares consider the Penates temporary guests, importunate, intrusive; the real Leandra is theirs, which gives form to all it contains, the Leandra that was there before all these upstarts arrived and that will remain when all have gone away.",-1,29CITIES & NAMES 2,Complexity
"The two species have this in common: whatever happens in the family and in the city, they always criticize.",6,29CITIES & NAMES 2,Existentialism
"The Penates bring out the old people, the great-grandparents, the great-aunts, the family of the past; the Lares talk about the environment before it was ruined.",-1,29CITIES & NAMES 2,Complexity
"But this does not mean they live only on memories: they daydream of the careers the children will follow when they grow up (the Penates), or what this house in this neighbourhood might become (the Lares) if it were in good hands.",-1,29CITIES & NAMES 2,Complexity
"If you listen carefully, especially at night, you can hear them in the houses of Leandra.",-1,29CITIES & NAMES 2,Complexity
"murmuring steadily, interrupting one another, huffing, bantering, amid ironic, stifled laughter.",-1,29CITIES & NAMES 2,Complexity
"At Melania, every time you enter the square, you find yourself caught in a dialogue: the braggart soldier and the parasite coming from a door meet the young wastrel and the prostitute; or else the miserly father from his threshold utters his final warnings to the amorous daughter and is interrupted by the foolish servant who is taking a note to the procuress.",-1,30CITIES & THE DEAD 1,Complexity
"You return to Melania after years and you find the same dialogue still going on; in the meanwhile the parasite has died, and so have the procuress and the miserly father; but the braggart soldier, the amorous daughter, the foolish servant have taken their places, being replaced in their turn by the hypocrite, the confidante, the astrologer.",-1,30CITIES & THE DEAD 1,Complexity
"Melania's population renews itself: the participants in the dialogues die one by one and meanwhile those who will take their places are born, some in one role, some in another.",-1,30CITIES & THE DEAD 1,Complexity
"When one changes role or abandons the square forever or makes his first entrance into it, there is a series of changes, until all the roles have been reassigned; but meanwhile the angry old man goes on replying to the witty maidservant, the usurer never ceases following the disinherited youth, the nurse consoles the stepdaughter, even if none of them keeps the same eyes and voice he had in the previous scene.",-1,30CITIES & THE DEAD 1,Complexity
"At times it may happen that a sole person will simultaneously take on two or more roles--tyrant, benefactor, messenger--or one role may be doubled, multiplied, assigned to a hundred, a thousand inhabitants of Melania: three thousand for the hypocrite, thirty thousand for the sponger, a hundred thousand king's sons fallen in low estate and awaiting recognition.",-1,30CITIES & THE DEAD 1,Complexity
"As time passes the roles, too, are no longer exactly the same as before; certainly the action they carry forward through intrigues and surprises leads towards some final denouement, which it continues to approach even when the plot seems to thicken more and more and the obstacles increase.",-1,30CITIES & THE DEAD 1,Complexity
"If you look into the square in successive moments, you hear how from act to act the dialogue changes, even if the lives of Melania's inhabitants are too short for them to realize it.",-1,30CITIES & THE DEAD 1,Complexity
"In Esmeralda, city of water, a network of canals and a network of streets span and intersect each other.",-1,31TRADING CITIES 5,Complexity
"To go from one place to another you have always the choice between land and boat: and since the shortest distance between two points in Esmeralda is not a straight line but a zigzag that ramifies in tortuous optional routes, the ways that open to each passerby are never two, but many, and they increase further for those who alternate a stretch by boat with one on dry land.",-1,31TRADING CITIES 5,Complexity
And so Esmeralda's inhabitants are spared the boredom of following the same streets every day.,-1,31TRADING CITIES 5,Complexity
"And that is not all: the network of routes is not arranged on one level, but follows instead an up-and-down course of steps, landings, cambered bridges, hanging streets.",-1,31TRADING CITIES 5,Complexity
"Combining segments of the various routes, elevated or on ground level, each inhabitant can enjoy every day the pleasure of a new itinerary to reach the same places.",-1,31TRADING CITIES 5,Complexity
The most fixed and calm lives in Esmeralda are spent without any repetition.,-1,31TRADING CITIES 5,Complexity
"Secret and adventurous lives, here as elsewhere, are subject to greater restrictions.",-1,31TRADING CITIES 5,Complexity
"Esmeralda's cats, thieves, illicit lovers move along higher, discontinuous ways, dropping from a rooftop to a balcony, following gutterings with acrobats' steps.",-1,31TRADING CITIES 5,Complexity
"Below, the rats run in the darkness of the sewers, one behind the other's tail, along with conspirators and smugglers: they peep out of manholes and drainpipes, they slip through double bottoms and ditches, from one hiding place to another they drag crusts of cheese, contraband goods, kegs of gunpowder, crossing the city's compactness pierced by the spokes of underground passages.",-1,31TRADING CITIES 5,Complexity
"A map of Esmeralda should include, marked in different coloured inks, all these routes, solid and liquid, evident and hidden.",-1,31TRADING CITIES 5,Complexity
"It is more difficult to fix on the map the routes of the swallows, who cut the air over the roofs, dropping long invisible parabolas with their still wings, darting to gulp a mosquito, spiralling upwards, grazing a pinnacle, dominating from every point of their airy paths all the points of the city.",-1,31TRADING CITIES 5,Complexity
"When you have arrived at Phyllis, you rejoice in observing all the bridges over the canals, each different from the others: cambered, covered, on pillacs.",-1,32CITIES & EYES 4,Complexity
"on barges, suspended, with tracery balustrades.",-1,32CITIES & EYES 4,Complexity
"And what a variety of windows looks down on the streets: mullioned, Moorish, lancet, pointed, surmounted by lunettes or stained-glass roses; how many kinds of pavement cover the ground: cobbles, slabs, gravel, blue and white tiles.",0,32CITIES & EYES 4,Opposite
"At every point the city offers surprises to your view: a caper bush jutting from the fortress' walls, the statues of three queens on corbels, an onion dome with three smaller onions threaded on the spire.",-1,32CITIES & EYES 4,Complexity
"'Happy the man who has Phyllis before his eyes each day and who never ceases seeing the things it contains,' you cry, with regret at having to leave the city when you can barely graze it with your glance.",-1,32CITIES & EYES 4,Complexity
"But it so happens that, instead, you must stay in Phyllis and spend the rest of your days there.",-1,32CITIES & EYES 4,Complexity
"Soon the city fades before your eyes, the rose windows are expunged, the statues on the corbels, the domes.",-1,32CITIES & EYES 4,Complexity
"Like all of Phyllis's inhabitants, you follow zigzag lines from one street to another, you distinguish the patches of sunlight from the patches of shade, a door here, a stairway there, a bench where you can put down your basket, a hole where your foot stumbles if you are not careful.",-1,32CITIES & EYES 4,Complexity
All the rest of the city is invisible.,-1,32CITIES & EYES 4,Complexity
"Phyllis is a space in which routes are drawn between points suspended in the void: the shortest way to reach that certain merchant's tent, avoiding that certain creditor's window.",-1,32CITIES & EYES 4,Complexity
"Your footsteps follow not what is outside the eyes, but what is within, buried, erased.",-1,32CITIES & EYES 4,Complexity
"If, of two arcades, one continues to seem more joyous, it is because thirty years ago a girl went by there, with broad, embroidered sleeves, or else it is only because that arcade catches the light at a certain hour like that other arcade, you cannot recall where.",-1,32CITIES & EYES 4,Complexity
"Millions of eyes look up at windows, bridges, capers, and they might be scanning a blank page.",-1,32CITIES & EYES 4,Complexity
"Many are the cities like Phyllis, which elude the gaze of all, except the man who catches them by surprise.",-1,32CITIES & EYES 4,Complexity
"For a long time Pyrrha to me was a fortified city on the slopes of a bay, with high windows and towers, enclosed like a goblet, with a central square deep as a well, with a well in its centre.",-1,33CITIES & NAMES 3,Complexity
I had never seen it.,-1,33CITIES & NAMES 3,Complexity
"It was one of the many cities where I had never arrived, that I conjured up, through its name: Euphrasia, Odile, Margara, Getullia.",-1,33CITIES & NAMES 3,Complexity
"Pyrrha had its place among them, different from each of them, and like each of them, unmistakable to the mind's eye.",-1,33CITIES & NAMES 3,Complexity
The day came when my travels took me to Pyrrha.,-1,33CITIES & NAMES 3,Complexity
"As soon as I set foot there, everything I had imagined was forgotten; Pyrrha had become what is Pyrrha; and I thought I had always known that the sea is invisible from the city, hidden behind a dune of the low, rolling coast; that the streets are long and straight; that the houses are clumped at intervals, not high, and they are separated by open lots with stacks of lumber and with sawmills; that the wind stirs the vanes of the water pumps.",-1,33CITIES & NAMES 3,Complexity
"From that moment on the name Pyrrha has brought to my mind this view, this light, this buzzing, this air in which a yellowish dust flies: obviously the name means this and could mean nothing but this.",-1,33CITIES & NAMES 3,Complexity
"My mind goes on containing a great number of cities I have never seen and will never see, names that bear with them a figure or a fragment or glimmer of an imagined figure: Getullia, Odile, Euphrasia, Margara.",-1,33CITIES & NAMES 3,Complexity
"The city high above the bay is also there still, with the square enclosing the well, but I can no longer call it by a name, nor remember how I could ever have given it a name that means something entirely different.",-1,33CITIES & NAMES 3,Complexity
Never in all my travels had I ventured as far as Adelma.,-1,34CITIES & THE DEAD 2,Complexity
It was dusk when I landed there.,-1,34CITIES & THE DEAD 2,Complexity
On the dock the sailor who caught the rope and tied it to the bollard resembled a man who had soldiered with me and was dead.,-1,34CITIES & THE DEAD 2,Complexity
It was the hour of the wholesale fish market.,-1,34CITIES & THE DEAD 2,Complexity
"An old man was loading a basket of sea urchins on a cart; I thought I recognized him; when I turned, he had disappeared down an alley, but I realized that he looked like a fisherman who, already old when I was a child, could no longer be among the living.",1,34CITIES & THE DEAD 2,topic_name
"I was upset by the sight of a fever victim huddled on the ground, a blanket over his head: my father a few days before his death had yellow eyes and a growth of beard like this man.",1,34CITIES & THE DEAD 2,topic_name
I turned my gaze aside; I no longer dared look anyone in the face.,1,34CITIES & THE DEAD 2,topic_name
"I thought: 'If Adelma is a city I am seeing in a dream, where you encounter only the dead, the dream frightens me.",-1,34CITIES & THE DEAD 2,Complexity
"If Adelma is a real city, inhabited by living people, I need only continue looking at them and the resemblances will dissolve, alien faces will appear, bearing anguish.",-1,34CITIES & THE DEAD 2,Complexity
In either case it is best for me not to insist on staring at them.',1,34CITIES & THE DEAD 2,topic_name
A vegetable vendor was weighing a cabbage on a scales and put it in a basket dangling on a string a girl lowered from a balcony.,1,34CITIES & THE DEAD 2,topic_name
The girl was identical with one in my village who had gone mad for love and killed herself.,1,34CITIES & THE DEAD 2,topic_name
The vegetable vendor raised her face: she was my grandmother.,1,34CITIES & THE DEAD 2,topic_name
"I thought: 'You reach a moment in life when, among the people you have known, the dead outnumber the living.",-1,34CITIES & THE DEAD 2,Complexity
"And the mind refuses to accept more faces, more expressions: on every new face you encounter, it prints the old forms, for each one it finds the most suitable mask.'",1,34CITIES & THE DEAD 2,topic_name
"The stevedores climbed the steps in a line, bent beneath demijohns and barrels; their faces were hidden by sackcloth hoods; 'Now they will straighten up and I will recognize them,' I thought, with impatience and fear.",-1,34CITIES & THE DEAD 2,Complexity
"But I could not take my eyes off them; if I turned my gaze just a little towards the crowd that crammed those narrow streets, I was assailed by unexpected faces, reappearing from far away, staring at me as if demanding recognition, as if to recognize me, as if they had already recognized me.",1,34CITIES & THE DEAD 2,topic_name
"Perhaps, for each of them, I also resembled someone who was dead.",1,34CITIES & THE DEAD 2,topic_name
"I had barely arrived at Adelma and I was already one of them, I had gone over to their side, absorbed in that kaleidoscope of eyes, wrinkles, grimaces.",-1,34CITIES & THE DEAD 2,Complexity
I thought: 'Perhaps Adelma is the city where you arrive dying and where each finds again the people he has known.,-1,34CITIES & THE DEAD 2,Complexity
"This means I, too, am dead.'",-1,34CITIES & THE DEAD 2,Complexity
And I also thought: 'This means the beyond is not happy.',-1,34CITIES & THE DEAD 2,Complexity
"In Eudoxia, which spreads both upwards and down, with winding alleys, steps, dead ends, hovels, a carpet is preserved in which you can observe the city's true form.",-1,35CITIES & THE SKY 1,Complexity
"At first sight nothing seems to resemble Eudoxia less than the design of that carpet, laid out in symmetrical motives whose patterns are repeated along straight and circular lines, interwoven with brilliantly coloured spires, in a repetition that can be followed throughout the whole woof.",7,35CITIES & THE SKY 1,Desire
"But if you pause and examine it carefully, you become convinced that each place in the carpet corresponds to a place in the city and all the things contained in the city are included in the design, arranged according to their true relationship, which escapes your eye distracted by the bustle, the throngs, the shoving.",-1,35CITIES & THE SKY 1,Complexity
"All of Eudoxia's confusion, the mules' braying, the lampblack stains, the fish smell is what is evident in the incomplete perspective you grasp; but the carpet proves that there is a point from which the city shows its true proportions, the geometrical scheme implicit in its every, tiniest detail.",7,35CITIES & THE SKY 1,Desire
"It is easy to get lost in Eudoxia: but when you concentrate and stare at the carpet, you recognize the street you were seeking in a crimson or indigo or magenta thread which, on a wide loop, brings you to the purple enclosure that is your real destination.",7,35CITIES & THE SKY 1,Desire
"Every inhabitant of Eudoxia compares the carpet's immobile order with his own image of the city, an anguish of his own, and each can find, concealed among the arabesques, an answer, the story of his life, the twists of fate.",7,35CITIES & THE SKY 1,Desire
An oracle was questioned about the mysterious bond between two objects so dissimilar as the carpet and the city.,2,35CITIES & THE SKY 1,Escape
"One of the two objects--the oracle replied--has the form the gods gave the starry sky and the orbits in which the worlds revolve; the other is approximate reflection, like every human creation.",2,35CITIES & THE SKY 1,Escape
For some time the augurs had been sure that the carpet's harmonious pattern was of divine origin.,-1,35CITIES & THE SKY 1,Complexity
"The oracle was interpreted in this sense, arousing no controversy.",2,35CITIES & THE SKY 1,Escape
"But you could, similarly, come to the opposite conclusion: that the true map of the universe is the city of Eudoxia, just as it is, a stain that spreads out shapelessly, with crooked streets, houses that crumble one upon the other amid clouds of dust, fires, screams in the darkness.",7,35CITIES & THE SKY 1,Desire
"When you have forded the river, when you have crossed the mountain pass, you suddenly find before you the city of Moriana, its alabaster gates transparent in the sunlight, its coral columns supporting pediments encrusted with serpentine, its villas all of glass like aquariums where the shadows of dancing girls with silvery scales swim beneath the medusa-shaped chandeliers.",-1,36CITIES & EYES 5,Complexity
"If this is not your first journey, you already know that cities like this have an obverse: you have only to walk in a semicircle and you will come into view of Moriana's hidden face, an expanse of rusting sheet metal, sackcloth, planks bristling with spikes, pipes black with soot, piles of tins, blind walls with fading signs, frames of staved-in straw chairs, ropes good only for hanging oneself from a rotten beam.",0,36CITIES & EYES 5,Opposite
"From one part to the other, the city seems to continue, in perspective, multiplying its repertory of images: but instead it has no thickness, it consists only of a face and an obverse, like a sheet of paper, with a figure on either side, which can neither be separated nor look at each other.",0,36CITIES & EYES 5,Opposite
"Clarice, the glorious city, has a tormented history.",9,37CITIES & NAMES 4,topic_name
"Several times it decayed, then burgeoned again, always keeping the first Clarice as an unparalleled model of every splendour, compared to which the city's present state can only cause more sighs at every fading of the stars.",9,37CITIES & NAMES 4,topic_name
"In its centuries of decadence, emptied by plagues, its height reduced by collapsing beams and cornices and by shifts of the terrain, rusted and stopped up through neglect or the lack of maintenance men, the city slowly became populated again as the survivors emerged from the basements and lairs, in hordes, swarming like rats, driven by their fury to rummage and gnaw, and yet also to collect and patch, like nesting birds.",6,37CITIES & NAMES 4,Existentialism
They grabbed everything that could be taken from where it was and put it in another place to serve a different use: brocade curtains ended up as sheets; in marble funerary urns they planted basil; wrought-iron gratings torn from the harem windows were used for roasting cat-meat on fires of inlaid wood.,8,37CITIES & NAMES 4,Other
"Put together with odd bits of the useless Clarice, a survivors' Clarice was taking shape, all huts and hovels, festering sewers, rabbit cages.",9,37CITIES & NAMES 4,topic_name
"And yet, almost nothing was lost of Clarice's former splendour; it was all there, merely arranged in different order, no less appropriate to the inhabitants' needs than it had been before.",9,37CITIES & NAMES 4,topic_name
The days of poverty were followed by more joyous times: a sumptuous butterfly-Clarice emerged from the beggared chrysalis-Clarice.,9,37CITIES & NAMES 4,topic_name
"The new abundance made the city overflow with new materials, buildings, objects; new people flocked in from outside; nothing, no one had any connection with the former Clarice, or Clarices.",9,37CITIES & NAMES 4,topic_name
"And the more the new city settled triumphantly into the place and the name of the first Clarice, the more it realized it was moving away from it, destroying it no less rapidly than the rats and the mould.",9,37CITIES & NAMES 4,topic_name
"Despite its pride in its new wealth, the city, at heart, felt itself incongruous, alien, a usurper.",-1,37CITIES & NAMES 4,Complexity
"And then the shards of the original splendour that had been saved, by adapting them to more obscure needs, were again shifted.",9,37CITIES & NAMES 4,topic_name
"They were now preserved under glass bells, locked in display cases, set on velvet cushions, and not because they might still be used for anything, but because people wanted to reconstruct through them a city of which no one knew anything now.",-1,37CITIES & NAMES 4,Complexity
"More decadences, more burgeonings have followed one another in Clarice.",9,37CITIES & NAMES 4,topic_name
"Populations and customs have changed several times; the name, the site, and the objects hardest to break remain.",0,37CITIES & NAMES 4,Opposite
"Each new Clarice, compact as a living body with its smells and its breath, shows off, like a gem, what remains of the ancient Clarices, fragmentary and dead.",9,37CITIES & NAMES 4,topic_name
"There is no knowing when the Corinthian capitals stood on the top of their columns: only one of them is remembered, since for many years, in a chicken run, it supported the basket where the hens laid their eggs, and from there it was moved to the Museum of Capitals in line with other specimens of one collection.",-1,37CITIES & NAMES 4,Complexity
"The order of the eras' succession has been lost; that a first Clarice existed is a widespread belief, but there are no proofs to support it.",9,37CITIES & NAMES 4,topic_name
"The capitals could have been in the chicken runs before they were in the temples, the marble urns could have been planted with basil before they were filled with dead bones.",-1,37CITIES & NAMES 4,Complexity
"Only this is known for sure: a given number of objects is shifted within a given space, at times submerged by a quantity of new objects, at times worn out and not replaced; the rule is to shuffle them each time, then try to assemble them.",1,37CITIES & NAMES 4,topic_name
"Perhaps Clarice has always been only a confusion of chipped gimcracks, ill-assorted, obsolete.",9,37CITIES & NAMES 4,topic_name
No city is more inclined than Eusapia to enjoy life and flee care.,7,38CITIES & THE DEAD 3,Desire
"And to make the leap from life to death less abrupt, the inhabitants have constructed an identical copy of their city, underground.",0,38CITIES & THE DEAD 3,Opposite
"All corpses, dried in such a way that the skeleton remains sheathed in yellow skin, are carried down there, to continue their former activities.",-1,38CITIES & THE DEAD 3,Complexity
"And, of these activities, it is their carefree moments that take first place: most of the corpses are seated around laden tables, or placed in dancing positions, or made to play little trumpets.",-1,38CITIES & THE DEAD 3,Complexity
"But all the trades and professions of the living Eusapia are also at work below ground, or at least those that the living performed with more contentment than irritation: the clockmaker, amid all the stopped clocks of his shop, places his parchment ear against an out-of-tune grandfather clock; a barber, with dry brush, lathers the cheekbones of an actor learning his role, studying the script with hollow sockets; a girl with a laughing skull milks the carcass of a heifer.",7,38CITIES & THE DEAD 3,Desire
"To be sure, many of the living want a fate after death different from their lot in life: the necropolis is crowded with big-game hunters, mezzo-sopranos, bankers, violinists, duchesses, courtesans, generals--more than the living city ever contained.",-1,38CITIES & THE DEAD 3,Complexity
The job of accompanying the dead down below and arranging them in the desired place is assigned to a confraternity of hooded brothers.,5,38CITIES & THE DEAD 3,The Fatal Conceit
No one else has access to the Eusapia of the dead and everything known about it has been learned from them.,-1,38CITIES & THE DEAD 3,Complexity
